,Date,Zpid,time,Price,pricePerSquareFoot,priceChangeRate,event,Agency,buyerAgent,sellerAgent,showCountyLink,postingIsRental,attributeSource
3,07/11/2022,31497240,1.63745E+12,,,0,Listing removed,Zillow Rental Network_1,,,FALSE,TRUE,"{'infoString1': None, 'infoString2': 'Zillow Rental Network_1', 'infoString3': None}"
4,14/12/2022,31497240,1.63642E+12,5000,6,0,Listed for rent,Zillow Rental Network_1,,,FALSE,TRUE,"{'infoString1': '', 'infoString2': 'Zillow Rental Network_1', 'infoString3': None}"
5,05/01/2023,31497240,1.63045E+12,,,0,Listing removed,Zillow Rental Network_1,,,FALSE,TRUE,"{'infoString1': None, 'infoString2': 'Zillow Rental Network_1', 'infoString3': None}"
6,04/04/2023,31497240,1.62968E+12,5000,6,0,Listed for rent,Zillow Rental Network_1,,,FALSE,TRUE,"{'infoString1': '', 'infoString2': 'Zillow Rental Network_1', 'infoString3': None}"
7,26/05/2023,31497240,1.25729E+12,176126,220,0,Sold,Public Record,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
0,10/07/2023,31497240,1.69629E+12,600000,,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
0,28/09/2023,31497240,1.69629E+12,6125000,2078,-0.02,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
0,23/12/1999,31500494,1.69629E+12,4200000,1641,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
0,28/09/2023,31500494,1.69629E+12,4700000,723,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
0,15/07/1999,31525553,1.69629E+12,300000,,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
0,29/09/2023,31525553,1.69629E+12,22000000,4400,0.848739496,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
1,10/07/1997,31533978,1.67875E+12,,,0,Listing removed,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
2,24/02/2000,31533978,1.21496E+12,11900000,2380,0,Listing removed,Prudential Real Estate,,,FALSE,FALSE,"{'infoString1': '595368', 'infoString2': 'Prudential Real Estate', 'infoString3': None}"
3,22/04/2012,31533978,1.21401E+12,11900000,2380,0,Listed for sale,Prudential Real Estate,,,FALSE,FALSE,"{'infoString1': '595368', 'infoString2': 'Prudential Real Estate', 'infoString3': None}"
0,11/05/2012,31533978,1.69629E+12,1850000,1321,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
0,31/07/2012,31533978,1.69629E+12,8995000,2092,-0.1005,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
1,16/10/2012,31533978,1.6924E+12,,,0,Listing removed,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
2,28/05/2015,31533978,1.68376E+12,10000000,2326,-0.130434783,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
3,09/06/2015,31533978,1.68039E+12,11500000,2674,-0.148148148,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
4,03/02/2017,31533978,1.25729E+12,13500000,3140,0,Sold,Public Record,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
