zpid,property_type,price,bathrooms,bedrooms,Total_bath_beds,size_sqft,url,address,broker_name
143180534,3,1750000,4,4,8,0,/homedetails/208-Edgecombe-Ave-New-York-NY-10030/143180534_zpid/,"208 Edgecombe Ave, New York, NY 10030",Brown Harris Stevens
63863544,2,5495000,4,4,8,3549,/homedetails/270-Broadway-APT-26A-New-York-NY-10007/63863544_zpid/,"270 Broadway APT 26A, New York, NY 10007",Douglas Elliman
31537161,4,6495000,4,4,8,0,/homedetails/236-E-72nd-St-New-York-NY-10021/31537161_zpid/,"236 E 72nd St, New York, NY 10021",Douglas Elliman
72539555,2,6495000,4,4,8,0,/homedetails/1-Beekman-Pl-APT-15A-New-York-NY-10022/72539555_zpid/,"1 Beekman Pl APT 15A, New York, NY 10022",Sotheby's International Realty
2080484098,2,6900000,5,3,8,0,/homedetails/983-Park-Ave-5B-New-York-NY-10028/2080484098_zpid/,"983 Park Ave #5B, New York, NY 10028",Sotheby's International Realty
97521790,2,14500000,4,4,8,3844,/homedetails/385-W-12th-St-New-York-NY-10014/97521790_zpid/,"385 W 12th St, New York, NY 10014",Corcoran
72527862,2,6500000,5,4,9,0,/homedetails/605-Park-Ave-11AB-New-York-NY-10065/72527862_zpid/,"605 Park Ave #11AB, New York, NY 10065",Sotheby's International Realty
31499413,5,6995000,4,5,9,3585,/homedetails/124-W-Washington-Plce-New-York-NY-10014/31499413_zpid/,"124 W Washington Plce, New York, NY 10014",Douglas Elliman
2055123583,2,12995000,5,4,9,4155,/homedetails/10-Greene-St-PENTHOUSE-New-York-NY-10013/2055123583_zpid/,"10 Greene St #PENTHOUSE, New York, NY 10013",Corcoran
2055239728,2,40000000,5,4,9,6300,/homedetails/551-W-21st-St-APT-19B-New-York-NY-10011/2055239728_zpid/,"551 W 21st St APT 19B, New York, NY 10011",Douglas Elliman
31552903,5,2700000,4,6,10,4608,/homedetails/475-W-144th-St-New-York-NY-10031/31552903_zpid/,"475 W 144th Street, New York, NY 10031",Dean Bailey Agency
2057888044,2,6950000,5,5,10,3500,/homedetails/133-E-64th-St-APT-9A-New-York-NY-10065/2057888044_zpid/,"133 E 64th St APT 9A, New York, NY 10065",Corcoran
